,trial,key,start_time,end_time,reaction_time
0,NW/gefaapt_audio,m,4.166533834999427,4.9236062790005235,0.7570724440010963
1,NW/kijs_audio,z,5.449052736003068,6.12419030899764,0.6751375729945721
2,NW/kwarp_audio,m,6.650038770007086,7.330300924004405,0.6802621539973188
3,HF/juist_audio,z,7.8663059170066845,8.563309557008324,0.6970036400016397
4,LF/imams_audio,m,9.09842990800098,9.916195956000593,0.8177660479996121
5,LF/sjalot_audio,z,10.449981470010243,11.262556711997604,0.8125752419873606
6,NW/moksen_audio,m,11.782523519010283,12.646484721000888,0.8639612019906053
7,NW/herken_audio,z,13.18210503400769,14.378547660002369,1.1964426259946777
8,LF/gisten_audio,m,14.898816924003768,15.735240385009092,0.8364234610053245
9,NW/ploe_audio,z,16.264557861009962,16.953717716998653,0.6891598559886916
10,NW/plond_audio,m,17.48194386000978,18.139815325004747,0.6578714649949688
11,HF/idee_audio,z,18.66411017200153,19.596070697007235,0.9319605250057066
12,NW/monen_audio,m,20.114619729007245,20.87148103900836,0.7568613100011135
13,HF/hard_audio,m,21.39784262300236,22.050667429997702,0.6528248069953406
14,LF/stengels_audio,m,22.581939253999735,23.357246394007234,0.7753071400074987
15,NW/giep_audio,m,23.879699580997112,24.739086109999334,0.8593865290022222
16,LF/metrum_audio,m,25.2644356170058,26.106861274005496,0.8424256569996942
17,HF/zag_audio,m,26.63099874299951,27.4268983110087,0.7958995680091903
18,NW/knaarde_audio,z,27.947243172005983,28.717453510005726,0.7702103379997425
19,NW/millag_audio,m,29.246497996005928,30.025823596006376,0.7793256000004476
20,LF/stekken_audio,m,30.54713762800384,31.437628024999867,0.8904903969960287
21,NW/stodeum_audio,m,31.95076347500435,32.85947692600894,0.9087134510045871
22,NW/stiraal_audio,m,33.378820619007456,34.310046840008,0.9312262210005429
23,HF/eigen_audio,z,34.82974742799706,35.483292536009685,0.6535451080126222
24,HF/lekker_audio,m,36.013392514010775,36.48605991600198,0.4726674019912025
25,HF/help_audio,z,37.01227545000438,37.57972922100453,0.5674537710001459
26,LF/polders_audio,m,38.10141062000184,38.570782210998004,0.4693715909961611
27,HF/geweest_audio,z,39.084719311998924,39.76477616399643,0.6800568519975059
28,LF/zolders_audio,m,40.28459821100114,40.890888053996605,0.6062898429954657
29,HF/vraag_audio,z,41.41197126600309,42.17586538300384,0.7638941170007456
30,HF/baby_audio,m,42.69611360000272,43.354987102997256,0.6588735029945383
31,LF/porde_audio,z,43.868113799006096,44.436624715002836,0.5685109159967396
32,LF/gevels_audio,m,44.95062082599907,45.546168237007805,0.595547411008738
33,NW/snoen_audio,z,46.068050867004786,47.33612083600019,1.2680699689954054
34,HF/gemaakt_audio,m,47.85137112400844,48.58838169700175,0.737010572993313
35,NW/entel_audio,m,49.10050207001041,49.690657138009556,0.5901550679991487
36,HF/bij_audio,m,50.210554731005686,50.814510582000366,0.6039558509946801
37,LF/strotten_audio,m,51.334349425000255,51.90776354300033,0.5734141180000734
38,LF/bonkte_audio,m,52.427229410997825,52.91850298900681,0.4912735780089861
39,HF/wakker_audio,m,53.43406115799735,53.87902205900173,0.4449609010043787
40,LF/lijsters_audio,m,54.39334212899848,54.857644518997404,0.46430238999892026
41,HF/vroeg_audio,m,55.377404397004284,55.91020889200445,0.532804495000164
42,NW/hormen_audio,m,56.42722380500345,56.84819051499653,0.42096670999308117
43,HF/gedaan_audio,z,57.367238666003686,57.73063285800163,0.36339419199794065
44,NW/verke_audio,z,58.250708304010914,58.79121025399945,0.5405019499885384
45,HF/redden_audio,z,59.31029178699828,59.938327190000564,0.6280354030022863
46,LF/ponten_audio,z,60.45067772900802,61.19523956399644,0.7445618349884171
47,HF/ogen_audio,m,61.70953465500497,62.55288893800753,0.8433542830025544
48,NW/kimensie_audio,z,63.067334284001845,63.8110994919989,0.7437652079970576
49,HF/dacht_audio,m,64.32653293300245,64.7249731060001,0.39844017299765255
50,LF/balkons_audio,z,65.24264979000145,65.80162069899961,0.5589709089981625
51,LF/lome_audio,m,66.31782434199704,66.66991093700926,0.3520865950122243
52,HF/ging_audio,z,67.18354870300391,67.67879967000044,0.4952509669965366
53,NW/udel_audio,m,68.19286379100231,68.60774653500994,0.4148827440076275
54,NW/rastel_audio,z,69.1260113449971,69.53125502199691,0.40524367699981667
55,LF/schuiten_audio,m,70.05025264300639,70.65064387999882,0.6003912369924365
56,NW/plirken_audio,z,71.16786362700805,71.64537514200492,0.47751151499687694
57,HF/werd_audio,m,72.15877411000838,72.52135092900426,0.36257681899587624
58,NW/jaat_audio,z,73.04165880700748,73.48475309500645,0.4430942879989743
59,NW/vlump_audio,m,74.00091847901058,74.5151501250075,0.5142316459969152
60,LF/buidels_audio,z,75.03425084300397,75.66334749200905,0.6290966490050778
61,HF/bezig_audio,m,76.18457008199766,76.7895074160042,0.6049373340065358
62,NW/darboen_audio,m,77.30810799999745,78.10846634799964,0.8003583480021916
63,NW/sluinen_audio,z,78.62470335701073,79.52507689299819,0.9003735359874554
64,NW/kuukt_audio,z,80.04097874301078,80.74324613800854,0.7022673949977616
65,NW/klaap_audio,z,81.25741543099866,81.98638152600324,0.72896609500458
66,NW/zelijk_audio,m,82.50788750000356,83.18824836400745,0.6803608640038874
67,LF/etui_audio,z,83.70733037599712,84.60004331200616,0.8927129360090476
68,LF/gonsde_audio,m,85.1174056710006,85.84292804100551,0.72552237000491
69,LF/snert_audio,m,86.35701131200767,86.9229436230089,0.5659323110012338
70,HF/had_audio,m,87.44103561301017,88.08804598200368,0.6470103689935058
71,NW/pruit_audio,z,88.60678113999893,89.20189084300364,0.5951097030047094
72,HF/reden_audio,m,89.72415637000813,90.28722645400558,0.5630700839974452
73,NW/loedsels_audio,z,90.80714791199716,91.26179836600204,0.45465045400487725
74,NW/glijp_audio,m,91.78436736900767,92.22154736200173,0.43717999299406074
75,NW/labber_audio,z,92.73979067000619,93.28075389099831,0.5409632209921256
76,NW/gevupt_audio,m,93.80053003400099,94.46434677099751,0.6638167369965231
77,NW/rogenten_audio,z,94.98311927400937,95.80362213900662,0.8205028649972519
78,LF/puien_audio,m,96.32274140699883,96.93455191999965,0.6118105130008189
79,NW/vrijk_audio,z,97.4673847790109,98.05558080499759,0.5881960259866901
80,NW/klaam_audio,m,98.5722838500078,99.30428698500327,0.7320031349954661
81,HF/plaats_audio,z,99.82241454800533,100.41335890200571,0.5909443540003849
82,LF/juffen_audio,m,100.93356258999847,101.36423879500944,0.43067620501096826
83,HF/uur_audio,z,101.88397113799874,102.55717506000656,0.673203922007815
84,HF/soort_audio,z,103.08405589000904,103.85162594000576,0.7675700499967206
85,LF/klavier_audio,z,104.38416682899697,105.3390698650037,0.9549030360067263
86,LF/oker_audio,m,105.86775993400079,106.15300489400397,0.2852449600031832
87,LF/rogge_audio,z,106.6835928040091,107.25792159500998,0.5743287910008803
88,LF/stram_audio,m,107.78393815799791,108.5373265829985,0.753388425000594
89,NW/doppel_audio,z,109.06699438201031,109.65649303499958,0.5894986529892776
90,NW/rokan_audio,m,110.18403767200653,110.80715187299938,0.623114200992859
91,NW/fankel_audio,z,111.33375442700344,112.04116225100006,0.7074078239966184
92,NW/liek_audio,m,112.56686465800158,112.94775491399923,0.3808902559976559
93,NW/nergen_audio,z,113.4677436970087,114.01162455001031,0.5438808530016104
94,NW/smaan_audio,m,114.53433505501016,114.9188590850099,0.38452402999973856
95,LF/topaas_audio,m,115.44990082400909,116.16680784001073,0.7169070160016418
96,NW/rakot_audio,m,116.70040083600907,117.37646372600284,0.6760628899937728
97,NW/slont_audio,m,117.89974146100576,118.51407138801005,0.6143299270042917
98,NW/ant_audio,m,119.03307710999798,119.62384691499756,0.5907698049995815
99,LF/margriet_audio,m,120.15047016199969,120.72148149300483,0.5710113310051383
100,NW/plenk_audio,m,121.24979139800416,121.78738086399972,0.537589465995552
101,HF/sta_audio,m,122.31722607900156,123.09269934700569,0.7754732680041343
102,LF/venkel_audio,m,123.61756402200263,124.29255603300408,0.67499201100145
103,NW/plin_audio,z,124.81687081699783,125.354584686007,0.537713869009167
104,NW/bralat_audio,m,125.88296409300528,126.28357322700322,0.4006091339979321
105,NW/pirrel_audio,z,126.81705348000105,127.34359821600083,0.5265447359997779
106,NW/bluit_audio,m,127.86691364100261,128.27433787500195,0.40742423399933614
107,NW/gesmalpt_audio,z,128.80007537300116,129.44130734200007,0.641231968998909
108,HF/wist_audio,m,129.96659933999763,130.54943919699872,0.5828398570010904
109,NW/glaf_audio,m,131.08316226799798,131.927486066008,0.8443237980100093
110,HF/zeg_audio,m,132.45037564600352,132.9631537039968,0.5127780579932733
111,NW/fradingo_audio,m,133.48332733100688,134.2939506440016,0.8106233129947213
112,LF/flans_audio,m,134.81676866101043,135.79065485901083,0.9738861980004003
113,NW/grede_audio,z,136.31656930300232,136.98302603600314,0.666456733000814
114,HF/gaf_audio,z,137.51613715100393,138.10089074001007,0.5847535890061408
115,NW/pals_audio,m,138.6335351739981,139.14311520699994,0.5095800330018392
116,HF/open_audio,z,139.66678389500885,140.11276380000345,0.4459799049946014
117,NW/murselein_audio,m,140.6502727210027,141.17730945700896,0.5270367360062664
118,NW/gardien_audio,m,141.6997959500004,142.45707536100235,0.7572794110019458
119,LF/hese_audio,z,142.98371630000474,143.7158212390059,0.7321049390011467
120,HF/recht_audio,m,144.25021155001014,144.8558014559967,0.6055899059865624
